ParName   Value   Gradient
MGparm[3]      270.583 3.40736e-007
MGparm[4]     0.319066 -5.93286e-006
MGparm[5]     -1.23267 -6.96785e-006
MGparm[6]    0.0734435 -3.79206e-007
MGparm[7]    0.0660828 -9.56944e-008
SR_parm[1]      6.67679 -2.67767e-005
SR_parm[2]          0.5 1.08202e-006
SR_parm[3]     0.650768  1.3387e-006
recdev1(1961)      1.33605 -9.6622e-006
recdev1(1962)    -0.196261 -7.71555e-007
recdev1(1963)     0.450956 -1.48578e-006
recdev1(1964)    -0.770297 -4.42524e-007
recdev1(1965)    -0.478229 -1.61515e-006
recdev1(1966)    -0.127272 6.41047e-007
recdev1(1967)    -0.425756 1.66055e-006
recdev1(1968)      0.71712 -5.45632e-006
recdev1(1969)    -0.393617 -4.6483e-006
recdev1(1970)    -0.375784 1.03855e-007
recdev1(1971)     0.636927 6.15929e-007
recdev1(1972)      1.08859 -1.02666e-006
recdev1(1973)     0.302064 -2.61704e-006
recdev1(1974)    -0.292158 5.25797e-007
recdev1(1975)    -0.559117 3.97205e-007
recdev1(1976)    -0.682013 2.94021e-007
recdev1(1977)    -0.755825 3.79717e-007
recdev1(1978)    -0.443434 4.52847e-007
recdev1(1979)    -0.488817 2.14303e-007
recdev1(1980)    -0.445351 5.32483e-007
recdev1(1981)     0.403979 -2.98114e-007
recdev1(1982)    -0.158723 2.33907e-007
recdev1(1983)    -0.168885 7.02136e-007
recdev1(1984)     0.077072 3.47701e-007
recdev1(1985)    -0.164127 8.43509e-007
recdev1(1986)     0.290993 8.58025e-007
recdev1(1987)    -0.650116 9.41993e-007
recdev1(1988)     0.509349   7.815e-007
recdev1(1989)     0.825626 7.61785e-007
recdev1(1990)    0.0561794 6.80237e-007
recdev1(1991)     0.408626 7.14266e-007
recdev1(1992)     -1.08603 6.75004e-007
recdev1(1993)     0.870959 4.99734e-007
recdev1(1994)     0.851627 3.82469e-007
recdev1(1995)    -0.573636 8.98647e-007
recdev1(1996)     0.103884 8.27296e-007
recdev1(1997)    0.0142265 8.36374e-007
recdev1(1998)      0.20667 7.69554e-007
recdev1(1999)     0.179289 9.35239e-007
recdev1(2000)     0.584108 8.14703e-007
recdev1(2001)    -0.013288 7.84505e-007
recdev1(2002)     0.630393 1.04566e-006
recdev1(2003)       1.1447 1.11087e-006
recdev1(2004)    -0.869123  7.1404e-007
recdev1(2005)      0.75203 9.08359e-007
recdev1(2006)     -1.00376 6.67853e-007
recdev1(2007)   -0.0293588 8.04681e-007
recdev1(2008)     0.228264 9.49015e-007
recdev1(2009)    -0.310154 8.96989e-007
recdev1(2010)     -0.67341 7.53363e-007
recdev1(2011)     0.270894 9.98751e-007
recdev1(2012)     -0.53654 7.64313e-007
recdev1(2013)    -0.369656 8.14297e-007
recdev1(2014)  -0.00603235 7.57506e-007
recdev1(2015)     0.106204   8.059e-007
init_F[1]    0.0124196 2.04435e-006
init_F[2]   0.00213305 -3.99556e-008
Q_parm[7]     -4.24102 -1.2742e-007
Q_parm[9]     -4.02385 1.54169e-007
Q_parm[10]     -5.98656 -6.81043e-007
Q_parm[11]     -6.42483 -4.52026e-007
Q_parm[14]     0.204569 -1.95176e-007
Q_parm[15]     -0.15305 2.71712e-008
Q_parm[16]    -0.258552 3.81607e-007
Q_parm[17]   -0.0848078 2.75994e-007
selparm[1]      216.831 -4.10115e-007
selparm[2]     -11.3534 -2.09994e-008
selparm[3]      7.23547 2.40577e-007
selparm[4]      5.26859 -4.53543e-008
selparm[6]      -2.2954 -2.03372e-007
selparm[7]      211.473 -2.89266e-007
selparm[8]     -11.4806 3.31515e-008
selparm[9]      8.04393 1.12224e-007
selparm[10]       7.1172 -4.46816e-007
selparm[12]     -2.16344 -3.56811e-007
selparm[13]      242.402 -5.12913e-005
selparm[14]     -11.4756 -3.89113e-008
selparm[15]      7.39863 9.59873e-007
selparm[18]    -0.142965 -1.12465e-006
selparm[19]      232.226 -1.11106e-006
selparm[20]     -11.6464 4.82296e-008
selparm[21]      6.67285 3.71394e-007
selparm[22]      6.29973 -7.62114e-007
selparm[24]       -3.316  6.4456e-008
selparm[25]        75.09 -5.89991e-006
selparm[27]      4.87347 8.77555e-007
selparm[31]      211.578 2.37056e-007
selparm[32]     -2.31823 -2.26694e-007
selparm[33]      6.86249 -1.90128e-007
selparm[36]     -3.56232 -4.95432e-007
selparm[37]      126.543 2.11093e-007
selparm[38]     -2.36521 1.77405e-006
selparm[40]      7.39827 1.18797e-006
selparm[43]      274.415 -1.22235e-007
selparm[44]     -11.9416 -1.75476e-008
selparm[45]      7.93088 -3.89286e-008
selparm[46]      4.27048 -1.00809e-007
selparm[48]      -2.1471 -9.88937e-008
selparm[49]      192.144 -8.43316e-008
selparm[50]     -1.20621 5.85716e-007
selparm[51]      5.79169 1.70015e-007
selparm[52]      7.30686 4.40561e-007
selparm[54]      -2.4592 5.73512e-007
selparm[57]      113.161 2.44274e-008
selparm[58]     -1.95691 -1.29009e-007
selparm[60]     -3.14198 1.11519e-008
selparm[63]      191.518 -8.78077e-007
selparm[64]    -0.104185 -3.02152e-007
selparm[65]      6.59889  1.3477e-006
selparm[68]     -1.74009 -3.45913e-007
selparm[71]      207.562 3.69753e-007
selparm[72]     -11.9838 -1.1318e-008
selparm[73]      6.49472 -1.86826e-007
selparm[74]       7.7541 2.05698e-007
selparm[76]     -2.67004 4.41468e-007
selparm[79]      260.676 1.77557e-007
selparm[80]     -11.0471 -5.95262e-008
selparm[81]      7.62404 -2.74091e-007
selparm[82]      5.56383 4.79798e-008
selparm[84]      -2.5186 1.30209e-007
selparm[85]      247.708 -5.65657e-008
selparm[86]      16.4415 2.60051e-008
selparm[99]      165.201 -2.03328e-006
selparm[102]     -3.42125 1.81125e-006
selparm[104]      7.44834 -2.6812e-006
selparm[105]     -5.83079 6.62498e-007
selparm[106]      84.1487 -3.91074e-007
selparm[107]     -1.16783 -1.66973e-007
selparm[110]      301.459 5.98654e-007
selparm[111]     -6.46517 5.12256e-009
selparm[113]    0.0742637 1.10272e-008
parm_dev[1](2011)    -0.671479 -4.13931e-007
parm_dev[1](2012)     0.381713 3.00112e-007
parm_dev[1](2013)     0.494584 6.06374e-007
parm_dev[1](2014)     0.036407 9.24452e-007
parm_dev[1](2015)    0.0354904 -6.03575e-007
