"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1950,261315,210577,225873,0.912078345085674,746.244,1017.3,0.189964,0.00450385836288534
1951,261027,210293,225584,0.910848247544136,746.031,1122.8,0.245607,0.00497730335484786
1952,260615,210079,225367,0.909921343058611,745.869,693.5,0.103697,0.0030772029622793
1953,260659,209924,225257,0.909249987006012,745.752,1084,0.257707,0.00481228108338476
1954,260270,209938,225238,0.909310625617214,745.762,823,0.212682,0.00365391275006882
1955,260068,210030,225269,0.909709107919403,745.832,544,0.134944,0.00241489064185485
1956,260103,210164,225341,0.910289506055198,745.933,247,0.0643947,0.00109611655224748
1957,260446,210374,225560,0.911199085223237,746.092,546,0.14602,0.00242064195779394
1958,260468,210490,225695,0.911701519430344,746.179,1207,0.338028,0.00534792529741465
1959,259691,210401,225405,0.91131603111627,746.112,1649,0.505559,0.00731572059182361
1960,258234,209907,224747,0.909176354406695,745.739,1032,0.28829,0.0045918299243149
1961,257231,209436,224178,0.907136298272666,2660.14,1620,0.535035,0.00722640044964269
1962,258119,208731,223353,0.90408271106568,468.685,5799,1.41825,0.0259633853138306
1963,252021,206689,220715,0.895238136488851,1071.81,13838,1.76658,0.0626962372290057
1964,236813,200258,212215,0.867383357300022,380.492,18608,1.84541,0.0876846594255825
1965,213112,188297,196407,0.815576326686187,350.645,14167,1.83927,0.0721308303675531
1966,191897,174570,179349,0.756120168402086,549.608,8080,1.70093,0.0450518263274398
1967,176611,161566,164687,0.69979556125366,420.174,5940,1.6377,0.0360684207010875
1968,163385,148957,151139,0.64518182920702,844.878,3176,1.17368,0.0210137687823791
1969,154111,137680,139401,0.596337427883366,761.17,3012,1.33127,0.0216067316590268
1970,145826,127848,133435,0.553751797501689,359.327,5466,1.79878,0.0409637651290891
1971,135014,119573,123625,0.51791004695161,532.495,6591,1.85313,0.053314459049545
1972,123006,111553,116316,0.483172785391292,1755.33,3948,1.75794,0.0339420200144434
1973,115392,104184,107680,0.451255219251893,811.803,3871,1.73796,0.0359491084695394
1974,107635,96834,98837,0.419419948370554,353.891,5389.98,1.82799,0.0545340307779475
1975,98527.1,89168.7,90538.9,0.386219009338346,266.497,5072.38,1.64498,0.0560243166197071
1976,89660.7,80252.2,81068.2,0.347598710996379,242.694,5880,1.69266,0.072531522841262
1977,80392.5,70172,70863.9,0.303938044664669,170.882,6695.35,1.75018,0.0944818165525747
1978,70847.8,59968.9,60705.5,0.259745057953187,236.228,5765.1,1.73563,0.0949683307113853
1979,63028.2,51225,51852.1,0.22187234706076,230.667,6255.03,1.82081,0.120632144117596
