"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,18853.3,15519.9696518529,22186.6303481471,0.24276,0.203832175321058,0.281687824678942
2012,20037.7,16528.5412827998,23546.8587172002,0.258011,0.216838232573166,0.299183767426834
2013,22080.3,18276.7938916016,25883.8061083984,0.284312,0.239397073337483,0.329226926662517
2014,24150,20047.5601846795,28252.4398153205,0.310962,0.262201428003417,0.359722571996583
2015,25796,21454.150583968,30137.849416032,0.332157,0.28023304613237,0.38408095386763
2016,26929.3,22383.0067407406,31475.5932592594,0.346749,0.292129899657228,0.401368100342771
2017,27823.5,23120.6252180157,32526.3747819843,0.358263,0.301447368019754,0.415078631980246
2018,29741.4,24773.4400891066,34709.3599108934,0.382958,0.322295742703696,0.443620257296304
2019,31369.5,26128.6347038993,36610.3652961007,0.403922,0.339341578702202,0.468502421297798
2020,31532.9,26156.1504008511,36909.6495991489,0.406026,0.33953402582808,0.47251797417192
2021,31510.5,26027.5595521687,36993.4404478313,0.405738,0.33761945171731,0.47385654828269
