"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34"
1950,5.5881,1083.36,1569.44,2272.61,3238.4,4480.37,5963.81,7594.98,9233.38,10727.5,11940.7,12779.8,13214.3,13272.3,13018.4,12530.5,11883.9,11142.5,10356.4,9561.95,8784.25,8039.39,7336.89,6681.62,6075.28,5517.46,5006.47,4539.84,4114.71,3728.04,3376.81,3058.06,2768.99,2506.96,23910.1
1951,5.5865,1063.15,1569.55,2271.39,3235.75,4479.45,5965.32,7604.38,9248.59,10730.8,11930.8,12762.4,13193.3,13250,12996.5,12510.2,11865.5,11126.2,10341.9,9549.03,8772.73,8029.09,7327.66,6673.33,6067.81,5510.73,5000.39,4534.36,4109.75,3723.56,3372.76,3054.4,2765.67,2503.97,23881.6
1952,5.58529,1062.84,1538.88,2260.82,3211.34,4439.86,5925.18,7575,9228.3,10729.1,11929.3,12754.8,13181.6,13235.7,12980.9,12494.4,11850.6,11112.6,10329.7,9538.21,8763.09,8020.48,7319.95,6666.42,6061.6,5505.13,4995.35,4529.8,4105.64,3719.85,3369.4,3051.36,2762.93,2501.48,23857.9
1953,5.58442,1062.61,1541.78,2234.26,3236.95,4474.84,5960.31,7610.54,9274.8,10766.5,11962.1,12770,13181.2,13227.2,12968,12479.5,11835.4,11098.2,10316.6,9526.44,8752.61,8011.16,7311.64,6658.98,6054.94,5499.15,4989.96,4524.95,4101.26,3715.9,3365.83,3048.13,2760.01,2498.84,23832.8
1954,5.58449,1062.45,1537.05,2225.69,3166.19,4441.84,5899.12,7517.41,9176.89,10720.3,11954.5,12790.1,13199.6,13237.3,12973,12481,11834.5,11096.1,10314.2,9524.25,8750.74,8009.6,7310.36,6657.92,6054.04,5498.39,4989.31,4524.38,4100.76,3715.45,3365.44,3047.78,2759.69,2498.56,23830.1
1955,5.58501,1062.46,1537.79,2216.85,3151.88,4349.74,5875.77,7482.6,9116.65,10651,11933.2,12801.4,13234,13266.1,12991.1,12492.3,11841.1,11099.4,10315.6,9524.85,8751.07,8009.89,7310.68,6658.27,6054.41,5498.77,4989.68,4524.74,4101.1,3715.77,3365.73,3048.05,2759.94,2498.78,23832.3
1956,5.58577,1062.56,1539.48,2227.51,3160.87,4365.14,5797.26,7493.26,9110.24,10608.4,11873.3,12788.9,13252.5,13306.2,13024.3,12514.3,11856,11109.4,10322.2,9529.38,8754.54,8012.84,7313.34,6660.73,6056.7,5500.88,4991.63,4526.53,4102.74,3717.27,3367.09,3049.29,2761.07,2499.81,23842.1
1957,5.58696,1062.7,1541.01,2234.02,3186.45,4398.89,5851.31,7435.94,9169.19,10639.2,11852.6,12742.9,13253,13335.3,13072.2,12553.3,11882.7,11128.3,10335.8,9539.13,8761.91,8018.84,7318.53,6665.39,6060.93,5504.75,4995.16,4529.75,4105.67,3719.93,3369.51,3051.49,2763.06,2501.61,23859.4
1958,5.58761,1062.93,1539.5,2230.79,3181.85,4406.75,5852.82,7449.87,9042.16,10661.7,11857,12703,13194.6,13329,13096.2,12596.1,11917.3,11151.4,10351.8,9550.29,8769.7,8024.57,7323.12,6669.33,6064.47,5507.97,4998.11,4532.45,4108.14,3722.18,3371.56,3053.35,2764.75,2503.15,23874.2
1959,5.58711,1063.05,1535.46,2205.32,3124.84,4311.6,5750.48,7340.3,8949.87,10428.8,11827.2,12675,13132.8,13256.4,13079.9,12611.8,11952.2,11179.3,10369.6,9562.05,8777.42,8029.54,7326.46,6671.85,6066.59,5509.88,4999.87,4534.08,4109.65,3723.57,3372.84,3054.52,2765.82,2504.12,23883.6
1960,5.58432,1062.96,1533.43,2139.81,2972.53,4092.23,5529.27,7249.68,8901.3,10370.8,11572.8,12621.9,13074.7,13165.8,12983.7,12575,11949.3,11197.1,10382.7,9567.51,8778.61,8028.14,7323.5,6668.23,6062.92,5506.45,4996.79,4531.34,4107.22,3721.42,3370.92,3052.8,2764.27,2502.73,23870.5
1961,19.9199,1062.43,1538.56,2192.43,2994.34,4042.49,5385.32,7019.58,8798.14,10313.9,11511.5,12360.2,13034.3,13122.8,12909.1,12494.8,11925,11203.5,10407.1,9586.4,8789.54,8034.44,7326.85,6669.65,6063.31,5506.43,4996.66,4531.23,4107.16,3721.4,3370.93,3052.84,2764.33,2502.79,23871.4
1962,3.50965,3789.8,1532.35,2130.12,2928.3,3891.06,5163.55,6797.19,8530.19,10203.6,11445.8,12284.6,12751.5,13070,12856.3,12413.9,11841.2,11173.9,10407.1,9603.65,8802.29,8040.34,7328.94,6669.41,6061.64,5504.12,4994.24,4528.95,4105.1,3719.57,3369.32,3051.41,2763.05,2501.66,23860.9
1963,8.02607,667.718,5349.6,1787.41,2213.1,2954.84,4150.29,6123.15,8052.53,9674.8,11094.3,12010.3,12508.5,12659.9,12708.3,12290.8,11709.2,11051.9,10344.3,9574.47,8793.54,8030.97,7316.08,6655.33,6047.3,5490.05,4980.92,4516.69,4093.99,3709.57,3360.32,3043.32,2755.78,2495.1,23799
1964,2.84924,1526.97,926.533,5511.71,1538.74,1821.62,2616.45,4279.48,6373.97,8068.41,9511.45,10842.1,11662.2,12028.5,12037.3,11950,11444.1,10813,10138.2,9439.56,8701.67,7967.18,7259.18,6601.27,5997.08,5443.75,4938.43,4477.97,4058.93,3677.94,3331.82,3017.63,2732.61,2474.19,23600.7
1965,2.62573,542.073,2116.83,946.202,4655.88,1207.14,1451.36,2247.9,3535.2,5115.18,6677.92,8295.5,9820.75,10752.7,11139,11121.4,10987.3,10466.5,9841.48,9189.7,8528.3,7841.34,7165.16,6518.49,5920.88,5374.3,4875.26,4420.55,4006.92,3630.98,3289.49,2979.48,2698.21,2443.16,23306.8
1966,4.11563,499.551,756.834,2335.92,890.401,4040.78,1009.27,1221.01,1789.67,2736.84,4117.42,5717.95,7428.48,8989.58,9909.66,10256.6,10199.8,10029.1,9511.02,8908.74,8292.76,7676.92,7045.03,6428.08,5841.44,5301.45,4809.01,4360.41,3952.33,3581.57,3244.9,2939.29,2662,2410.51,22998.3
1967,3.14639,783.007,698.478,909.966,2469.75,891.012,3903.63,1013.72,1250.87,1765.68,2648.99,3964.74,5472.09,7040.31,8427.03,9194.58,9432.75,9312.49,9103.42,8593.67,8020.92,7445.99,6878.75,6302.67,5743.95,5215.13,4729.91,4288.44,3886.97,3522.23,3191.17,2890.76,2618.21,2371.01,22625.4
1968,6.3267,598.606,1099.6,791.976,904.706,2370.28,904.408,4427.47,1142.5,1338.83,1807.67,2627.58,3845.72,5220.63,6628.6,7847.03,8482.87,8636.66,8474.59,8244.57,7753.91,7216.45,6684.63,6165.25,5641.95,5137.04,4660.87,4225.03,3829.21,3469.74,3143.48,2847.57,2579.2,2335.82,22294.4
1969,5.69987,1203.67,856.021,1442.9,974.352,1079.88,2819.37,1096.9,5231.66,1280.1,1428.91,1856.37,2619.02,3745.11,4991.34,6244.9,7306.63,7825.95,7910.58,7719.1,7477.74,7010.09,6508.34,6017.69,5542.54,5066.91,4609.95,4180.25,3787.75,3431.82,3108.93,2816.11,2550.68,2310.07,22053.9
1970,2.69075,1084.41,1706.38,1040.39,1590.38,1044.35,1202.81,3404.88,1315.43,5978.32,1395.32,1496.33,1879.88,2580.31,3609.68,4728.9,5838.43,6761.61,7185.84,7220.54,7014.17,6771.88,6332.25,5867.83,5417.75,4984.68,4553.31,4140.23,3752.67,3399.21,3079.05,2788.84,2525.83,2287.54,21844.2
1971,3.98748,511.92,1474.02,1463.84,691.257,1030.18,829.191,1335.73,4048.64,1491.92,6405.02,1428.37,1482.11,1819.17,2454.72,3388.84,4393,5378.22,6187.34,6541.54,6546.93,6340.46,6107.32,5700.9,5275.88,4866.44,4474.16,4084.75,3712.67,3364.11,3046.57,2759.16,2498.79,2262.93,21614
1972,13.1445,758.625,684.244,1117.34,807.447,367.138,688.092,819.058,1435.36,4186.16,1491.94,6282.15,1380.26,1412.92,1713.14,2287.04,3128.87,4025.84,4899.26,5609.75,5909.18,5897.42,5699.21,5480.77,5109.81,4724.54,4354.91,4001.83,3652.14,3318.52,3006.34,2722.14,2465.05,2232.24,21324.2
1973,6.07903,2500.76,1043.05,655.042,867.259,607.994,317.789,762.737,951.809,1591.64,4422.65,1518.66,6211.08,1333.66,1340.94,1603.24,2116.99,2871.52,3670.19,4443.55,5067.96,5322.51,5299.92,5113.07,4910.81,4574.06,4226.16,3893.45,3576.36,3262.89,2964.18,2684.89,2430.79,2201.01,21027.6
1974,2.65004,1156.55,3487.19,1101.17,586.759,745.95,563.63,339.873,814.638,973.553,1587.09,4354.85,1477.99,5965.11,1263.86,1255.47,1485.71,1945.41,2621.26,3332.94,4019.1,4569.88,4788.33,4759.69,4585.89,4400.17,4095.44,3781.89,3482.74,3198.13,2917.16,2649.65,2399.71,2172.39,20753.6
1975,1.99561,504.176,1539.03,3371.23,813.03,406.242,515.009,483.016,354.49,841.498,982.895,1580.24,4274.84,1427.96,5674.14,1185.76,1164.48,1365.42,1775.06,2378.44,3011.36,3619.62,4105.66,4294.06,4262.55,4102.7,3933.56,3659.06,3377.49,3109.35,2854.59,2603.34,2364.31,2141.08,20449.4
1976,1.81736,379.668,709.311,1753.44,3379.11,790.353,419.535,598.306,560.972,389.192,870.804,966.918,1498.41,3962.63,1306.26,5147.05,1069.03,1044.73,1220.16,1581.15,2113.23,2670.24,3204.65,3630.69,3793.89,3763.5,3620.53,3469.95,3226.88,2977.94,2741.09,2516.2,2294.54,2083.73,19904.8
1977,1.27962,345.757,541.299,893.577,2032.27,3752.16,868.44,464.493,629.311,554.778,365.946,786.257,850.273,1302.97,3438.63,1134.6,4475.09,929.733,908.327,1060.2,1372.88,1833.62,2315.53,2777.56,3145.56,3285.92,3258.81,3134.43,3003.64,2792.95,2577.27,2372.15,2177.44,1985.55,19023.8
1978,1.76895,243.449,492.349,676.771,1023.22,2224.45,4055.57,945.262,479.435,607.71,504.405,315.656,655.984,701.979,1079.12,2868.64,952.82,3775.92,786.848,770.129,899.842,1165.93,1557.73,1967.49,2360.31,2673.17,2792.53,2769.53,2663.85,2552.7,2373.64,2190.35,2016.02,1850.54,17852.6
1979,1.7273,336.545,345.196,593.993,737.515,1075.98,2397.79,4639.23,1048.18,495.485,580.016,446.014,265.189,540.111,577.592,893.622,2392.11,798.827,3177.27,663.653,650.504,760.757,986.269,1318.16,1665.29,1998.06,2263.13,2364.33,2344.97,2255.55,2161.49,2009.9,1854.72,1707.12,16682
1980,1.10594,328.622,471.572,381.604,567.962,676.676,1037.38,2572.8,4883.18,1019.82,441.829,478.589,351.655,207.043,426.105,462.908,726.197,1963.94,660.446,2639.08,552.921,543.058,635.958,825.229,1103.63,1394.86,1674.12,1896.63,1981.77,1965.76,1890.97,1812.22,1685.21,1555.14,15417.3
1981,3.16211,210.407,464.307,560.599,405.074,577.368,695.741,1123.2,2700.01,4757.79,910.507,362.081,371.776,269.517,160.335,335.735,370.519,588.208,1604.01,542.443,2175.74,457.007,449.635,527.184,684.657,916.174,1158.44,1390.79,1575.99,1647,1633.89,1571.86,1506.5,1400.98,14108.8
1982,2.00448,601.598,296.958,547.776,587.233,403.203,573.076,714.906,1105.77,2470.78,4060.46,731.663,281.267,287.729,211.364,127.884,271.641,302.906,484.252,1326.62,449.991,1808.49,380.37,374.568,439.439,570.945,764.241,966.535,1160.57,1315.27,1374.64,1363.78,1312.06,1257.55,12945.4
1983,1.36247,381.356,864.748,408.034,719.456,746.43,496.588,692.432,831.838,1214.74,2588.01,4104.52,718.192,269.283,269.931,195.164,116.649,245.473,271.784,432.149,1179.04,398.694,1598.61,335.639,330.088,386.879,502.29,671.978,849.508,1019.75,1155.41,1207.37,1197.68,1152.16,12468.6
1984,2.11804,259.212,548.414,1194.32,538.55,910.443,893.873,565.065,741.787,833.155,1167.77,2439.21,3814.95,659.056,244.349,242.667,174.133,103.449,216.643,238.948,378.807,1031.13,348.065,1393.74,292.332,287.28,336.514,436.715,584.065,738.195,885.972,1003.71,1048.74,1040.25,11827.4
1985,1.38384,402.962,373.939,773.251,1625.88,702.277,1112.05,1018.25,599.863,734.343,790.914,1087.64,2245.69,3479.05,596.145,219.489,216.682,154.704,91.5215,191.014,210.112,332.389,903.305,304.537,1218.29,255.35,250.803,293.668,380.997,509.434,643.763,772.54,875.121,914.323,11215.6
1986,2.29244,263.278,581.974,532.837,1066.31,2128.05,839.299,1197.51,1001.01,546.897,647.779,695.456,959.418,1984.92,3075.89,526.509,193.484,190.576,135.754,80.1441,166.971,183.397,289.79,786.82,265.081,1059.88,222.058,218.037,255.244,331.09,442.647,559.311,671.147,760.225,10535
1987,0.961737,436.142,381.013,836.028,747.101,1436.74,2684.07,976.735,1277.22,974.353,499.17,572.596,607.301,836.089,1732.14,2687.57,460.121,168.963,166.223,118.248,69.7211,145.096,159.226,251.415,682.241,229.747,918.302,192.347,188.828,221.019,286.664,383.221,484.195,580.986,9775.72
1988,1.45584,182.972,630.015,543.356,1156.74,989.213,1768.35,3042.36,1019.76,1224.63,884.882,442.81,503.399,532.503,732.904,1518.16,2353.82,402.465,147.565,144.95,102.973,60.6436,126.085,138.259,218.18,591.785,199.217,796.066,166.71,163.637,191.512,248.373,332.012,419.474,8970.37
1989,3.5472,276.976,264.418,899.949,753.883,1535.71,1219.98,2003.49,3159.22,962.93,1083.09,760.315,377.211,429.154,455.687,629.308,1306.12,2026.43,346.445,126.959,124.627,88.4785,52.0775,108.223,118.627,187.143,507.484,170.808,682.451,142.903,140.257,164.14,212.866,284.539,8045.57
1990,1.15031,674.862,399.904,376.388,1244.21,1006.88,1947.44,1464.68,2234.93,3156.1,875.904,934.329,640.912,316.062,360.17,383.802,531.649,1105.58,1717.08,293.684,107.634,105.65,74.995,44.1345,91.7039,100.507,158.542,429.892,144.683,578.044,121.036,118.792,139.017,180.282,7053.72
1991,2.00353,218.849,964.4,546.594,485.686,1544.8,1186.95,2241.45,1634.62,2283.81,2982.39,789.813,822.491,558.321,274.294,312.117,332.233,459.644,954.554,1480.55,252.927,92.6025,90.82,64.4257,37.895,78.7082,86.2379,136.002,368.711,124.077,495.668,103.78,101.85,119.187,6200.69
1992,0.458295,381.175,312.504,1314.17,701.397,598.437,1800.15,1346.66,2468.46,1657.76,2160.88,2708.99,701.309,721.459,486.637,238.208,270.343,287.121,396.435,821.844,1272.83,217.178,79.4376,77.8498,55.1929,32.4499,67.3759,73.8028,116.369,315.44,106.139,423.975,88.764,87.1099,5403.97
1993,1.91295,87.1914,551.066,447.124,1832.57,944.899,764.79,2171.43,1518.98,2556.9,1601.15,1998.87,2445.07,624.502,637.558,427.876,208.61,235.942,249.846,344.112,711.928,1100.81,187.589,68.5475,67.1271,47.5638,27.9525,58.0192,63.5383,100.167,271.483,91.339,364.83,76.3771,4723.63
1994,3.63391,363.943,126.456,796.718,626.051,2415.82,1169.54,902.659,2431.57,1571.81,2484.7,1497.19,1824.77,2197.54,555.407,562.723,375.426,182.163,205.228,216.638,297.632,614.564,948.833,161.504,58.9642,57.7043,40.8669,24.0079,49.8179,54.5456,85.9766,232.997,78.3838,313.064,4117.86
1995,0.762608,691.359,528.066,183.394,1131.49,852.849,3120.78,1428.06,1030.76,2557.96,1548.15,2345.43,1374.82,1645.56,1958.19,490.855,494.309,328.23,158.667,178.225,187.694,257.397,530.739,818.537,139.213,50.7946,49.6864,35.1764,20.6596,42.8617,46.9225,73.9529,200.397,67.4127,3809.84
1996,1.00432,145.087,1002.66,763.119,256.198,1486.17,1057.2,3732.8,1633.29,1087.47,2520.37,1458.13,2143.69,1231.18,1453.2,1712.33,426.101,426.691,282.084,135.889,152.229,159.983,219.046,451.116,695.101,118.138,43.0829,42.1267,29.8157,17.5075,36.3163,39.7522,62.6465,169.748,3283.4
1997,1.46441,191.074,210.303,1443.15,1046.43,322.743,1753.06,1227.35,4246.85,1720.02,1068.1,2365.75,1330.41,1921.4,1090.99,1277.75,1496.97,370.845,370.036,243.936,117.249,131.119,137.614,188.225,387.34,596.483,101.333,36.942,36.1132,25.5549,15.0035,31.1191,34.0607,53.6741,2957.87
1998,1.18733,278.607,277.136,304.088,2021.33,1383.2,403.853,2117.28,1414.52,4504.32,1699.66,1007.77,2166.62,1195.16,1704.8,960.072,1117.87,1303.89,321.895,320.313,210.702,101.105,112.919,118.394,161.815,332.803,512.28,87.0001,31.7093,30.9924,21.9283,12.873,26.6982,29.2204,2582.94
1999,1.53839,225.891,404.131,401.15,428.123,2696.92,1734.49,479.096,2362.33,1455.44,4353.73,1582.82,917.108,1941.72,1059.93,1500.61,840.301,974.046,1132.05,278.675,276.679,181.679,87.0599,97.1315,101.761,139,285.752,439.707,74.6564,27.2053,26.5865,18.809,11.041,22.8974,2239.71
2000,1.88972,292.682,327.76,586.078,569.593,583.068,3484.19,2115.73,543.276,2442.15,1395.8,3984.48,1409.84,804.522,1688.54,916.609,1292.38,721.285,833.749,966.751,237.533,235.478,154.443,73.9413,82.438,86.322,117.863,242.228,372.65,63.2605,23.0497,22.5233,15.9334,9.35248,1916.12
2001,1.72062,359.523,424.695,475.571,834.234,779.631,756.156,4241.95,2383.52,557.891,2330.84,1274.07,3543.83,1235.2,698.512,1457.11,787.273,1105.72,615.105,709.107,820.445,201.24,199.231,130.535,62.4462,69.5805,72.8261,99.4029,204.237,314.145,53.3213,19.4262,18.9811,13.4268,1622.15
