"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,289.967,215.720003713247,389.768494537796,0.403848,0.112564032509611,0.695131967490389
2012,213.83,142.372068457377,321.153365231106,0.0538841,-0.354835029552076,0.462603229552076
2013,96.0181,53.7859783951439,171.410389895267,-0.817566,-1.39634140467069,-0.238790595329307
2014,211.05,133.789740680606,332.926144212617,-0.0936781,-0.547556759719863,0.360200559719863
2015,250.212,144.858089013998,432.188808855197,0.0307495,-0.519279112909444,0.580778112909444
2016,273.092,133.546696549908,558.450657266005,0.0707822,-0.656362478300375,0.797926878300375
2017,938.302,536.432230139097,1641.23368011596,1.19244,0.638019107801201,1.7468608921988
2018,330.417,249.072014888419,438.328625309066,0,0,0
2019,330.417,249.072014888419,438.328625309066,0,0,0
2020,330.417,249.072014888419,438.328625309066,0,0,0
2021,330.417,249.072014888419,438.328625309066,0,0,0
