"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,1.10025,1.00185314409854,1.19864685590146,0.0622894,0.0517402662463702,0.0728385337536298
2012,0.983975,0.890802036106537,1.07714796389346,0.0608507,0.0509385349417059,0.0707628650582941
2013,0.829037,0.744127440261756,0.913946559738244,0.0544871,0.0462580932127094,0.0627161067872906
2014,0.858452,0.771547588918291,0.945356411081709,0.0572649,0.0484365166265972,0.0660932833734028
2015,0.932076,0.839742880673912,1.02440911932609,0.0632158,0.053729339119148,0.072702260880852
2016,0.941821,0.847131807968096,1.0365101920319,0.0594896,0.0504240805841077,0.0685551194158923
2017,0.908529,0.814041096269309,1.00301690373069,0.0538561,0.0456037892409332,0.0621084107590668
2018,0.944628,0.845895794260787,1.04336020573921,0.0604797,0.0513477574046716,0.0696116425953284
2019,1.03454,0.925338646637366,1.14374135336263,0.0674424,0.0570316397036787,0.0778531602963212
2020,0.977507,0.868711947171362,1.08630205282864,0.0623874,0.0523855077904937,0.0723892922095064
