"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","230876","212388.208523749","249363.791476251"
"Unfished Age 9+ Biomass (mt)","247293","227499.911709325","267086.088290675"
"Unfished Recruitment (R0)","760.431","698.803656437709","822.058343562291"
"2021 Spawning Biomass (mt)","31510.5","26027.5595521687","36993.4404478313"
"2021 Fraction Unfished","0.405738","0.33761945171731","0.47385654828269"
"Reference Points Based SB-99900\%","","",""
"Proxy Spawning Biomass (mt) SB-99900\%",NA,NA,NA
"SPR Resulting in SB-99900\%",NA,NA,NA
"Exploitation Rate Resulting in SB-99900\%",NA,NA,NA
"Yield with SPR Based On SB-99900\% (mt)",NA,NA,NA
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR40)","58319.8","50611.8496379993","66027.7503620007"
"SPR40","0.4","",""
"Exploitation Rate Corresponding to SPR40","0.0783933","0.0749895677455282","0.0817970322544718"
"Yield with SPR40 at SB SPR (mt)","4955.95","4246.1764824946","5665.7235175054"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","77662.2","68078.1721119976","87246.2278880024"
"SPR MSY","0.467256","0.422424175810428","0.512087824189572"
"Exploitation Rate Corresponding to SPR MSY","0.0634222","0.0533307766356799","0.0735136233643201"
"MSY (mt)","5133.64","4622.97922368403","5644.30077631597"
