"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 9+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,4014.39,2349.99,35528.6,31510.5,0.405738
2022,4036.97,4036.97,33808.2,31244.9,0.402318
2023,3792.36,3792.36,32207.1,29375.5,0.378247
2024,3750.54,3750.54,31324.7,27797.9,0.357933
2025,4103.08,4103.08,30892.9,27070,0.348561
2026,4472.84,4472.84,38068.8,27761.2,0.35746
2027,4658.49,4658.49,38227.7,30342.6,0.390699
2028,4648.12,4648.12,37903,32343,0.416457
2029,4529.84,4529.84,37341.6,32493.2,0.418391
2030,4389.62,4389.62,36718.9,32005.9,0.412117
