"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2006.78","1753.96","1481.45","1626.52","1841.7","1900.89","1849.6","2026.47","2305.42","2177.62","NA"
"(1-SPR)/(1-SPR_MSY)","1.10025","0.983975","0.829037","0.858452","0.932076","0.941821","0.908529","0.944628","1.03454","0.977507",NA
"Fill in F method","0.0622894","0.0608507","0.0544871","0.0572649","0.0632158","0.0594896","0.0538561","0.0604797","0.0674424","0.0623874",NA
"Age 9+ Biomass (mt)","21396","26353.9","25714.9","29547.2","29548.4","29870.8","33974.3","35538.5","34389.9","35417.7","225560"
"Spawning Biomass (mt)","18853.3","20037.7","22080.3","24150","25796","26929.3","27823.5","29741.4","31369.5","31532.9","31510.5"
"Lower Interval","15519.9696518529","16528.5412827998","18276.7938916016","20047.5601846795","21454.150583968","22383.0067407406","23120.6252180157","24773.4400891066","26128.6347038993","26156.1504008511","26027.5595521687"
"Upper Interval","22186.6303481471","23546.8587172002","25883.8061083984","28252.4398153205","30137.849416032","31475.5932592594","32526.3747819843","34709.3599108934","36610.3652961007","36909.6495991489","36993.4404478313"
"Recruits","289.967","213.83","96.0181","211.05","250.212","273.092","938.302","330.417","330.417","330.417","330.417"
"Lower Interval","215.720003713247","142.372068457377","53.7859783951439","133.789740680606","144.858089013998","133.546696549908","536.432230139097","249.072014888419","249.072014888419","249.072014888419","249.072014888419"
"Upper Interval","389.768494537796","321.153365231106","171.410389895267","332.926144212617","432.188808855197","558.450657266005","1641.23368011596","438.328625309066","438.328625309066","438.328625309066","438.328625309066"
"Fraction Unfished","0.24276","0.258011","0.284312","0.310962","0.332157","0.346749","0.358263","0.382958","0.403922","0.406026","0.405738"
"Lower Interval","0.203832175321058","0.216838232573166","0.239397073337483","0.262201428003417","0.28023304613237","0.292129899657228","0.301447368019754","0.322295742703696","0.339341578702202","0.33953402582808","0.33761945171731"
"Upper Interval","0.281687824678942","0.299183767426834","0.329226926662517","0.359722571996583","0.38408095386763","0.401368100342771","0.415078631980246","0.443620257296304","0.468502421297798","0.47251797417192","0.47385654828269"
