"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34"
1950,746.244,516.572,369.366,276.033,213.833,170.504,139.311,116.226,98.7241,85.1802,74.4281,65.644,58.2851,52.0039,46.5682,41.8143,37.6222,33.9019,30.5841,27.6141,24.9482,22.5501,20.3896,18.4408,16.6814,15.0919,13.6554,12.3566,11.1819,10.1193,9.15804,8.28825,7.50121,6.78899,64.7263
1951,746.031,506.935,369.393,275.884,213.658,170.47,139.346,116.37,98.8868,85.2065,74.3664,65.5545,58.192,51.9163,46.49,41.7465,37.5642,33.8522,30.5412,27.5768,24.9155,22.5213,20.3639,18.4179,16.6609,15.0735,13.6388,12.3416,11.1684,10.1072,9.14706,8.27833,7.49223,6.78087,64.649
1952,745.869,506.79,362.174,274.6,212.047,168.963,138.408,115.92,98.6698,85.1932,74.3571,65.5156,58.1407,51.8605,46.434,41.694,37.5171,33.8109,30.5053,27.5456,24.8881,22.4971,20.3425,18.3988,16.6438,15.0582,13.6251,12.3292,11.1573,10.0971,9.13795,8.2701,7.48479,6.77414,64.5849
1953,745.752,506.68,362.857,271.374,213.738,170.294,139.229,116.464,99.167,85.49,74.562,65.5937,58.139,51.8269,46.3881,41.6443,37.4689,33.767,30.4665,27.5116,24.8584,22.471,20.3194,18.3783,16.6255,15.0419,13.6104,12.316,11.1454,10.0864,9.12826,8.26135,7.47689,6.76699,64.5169
1954,745.762,506.601,361.744,270.334,209.065,169.038,137.8,115.039,98.1201,85.1232,74.5141,65.697,58.22,51.8667,46.406,41.6493,37.4661,33.7607,30.4595,27.5053,24.8531,22.4666,20.3159,18.3753,16.623,15.0398,13.6086,12.3145,11.144,10.0852,9.1272,8.2604,7.47604,6.76623,64.5098
1955,745.832,506.608,361.917,269.26,208.121,165.533,137.254,114.506,97.476,84.573,74.3817,65.7551,58.3717,51.9793,46.4705,41.6868,37.4868,33.7707,30.4637,27.507,24.854,22.4674,20.3167,18.3763,16.6241,15.0408,13.6096,12.3154,11.1449,10.086,9.12798,8.26112,7.4767,6.76683,64.5157
1956,745.933,506.655,362.315,270.555,208.714,166.119,135.42,114.669,97.4075,84.2349,74.008,65.6907,58.4535,52.1364,46.5893,41.7601,37.5339,33.8011,30.4831,27.5201,24.8638,22.4757,20.3241,18.3831,16.6303,15.0466,13.6149,12.3203,11.1494,10.0901,9.13169,8.26448,7.47975,6.7696,64.5423
1957,746.092,506.724,362.676,271.345,210.403,167.404,136.683,113.792,98.0378,84.4792,73.8792,65.4544,58.4553,52.2507,46.7608,41.8904,37.6187,33.8588,30.5232,27.5483,24.8848,22.4925,20.3386,18.3959,16.642,15.0572,13.6246,12.3291,11.1573,10.0973,9.13825,8.27044,7.48515,6.7745,64.5891
1958,746.179,506.832,362.319,270.954,210.099,167.703,136.718,114.005,96.6795,84.6584,73.9066,65.2494,58.1981,52.2257,46.8467,42.0334,37.728,33.9291,30.5704,27.5805,24.9069,22.5086,20.3513,18.4068,16.6517,15.066,13.6326,12.3364,11.1641,10.1034,9.14381,8.27549,7.48974,6.77866,64.629
1959,746.112,506.891,361.368,267.859,206.335,164.082,134.327,112.329,95.6928,82.8089,73.7208,65.1055,57.9254,51.9413,46.7883,42.0856,37.8385,34.0139,30.6231,27.6144,24.9288,22.5225,20.3606,18.4138,16.6575,15.0712,13.6374,12.3409,11.1682,10.1072,9.14728,8.27866,7.49263,6.78129,64.6544
1960,745.739,506.845,360.892,259.903,196.278,155.733,129.16,110.942,95.1735,82.348,72.1351,64.8329,57.669,51.5863,46.4443,41.9627,37.8294,34.068,30.6619,27.6302,24.9322,22.5186,20.3524,18.4038,16.6474,15.0618,13.629,12.3334,11.1616,10.1014,9.14206,8.274,7.48844,6.77753,64.6192
1961,2660.14,506.592,362.099,266.293,197.718,153.84,125.797,107.421,94.0705,81.8964,71.753,63.4888,57.491,51.4178,46.1773,41.6953,37.7525,34.0874,30.7338,27.6848,24.9633,22.5363,20.3617,18.4077,16.6485,15.0618,13.6287,12.3331,11.1614,10.1013,9.14211,8.27411,7.48859,6.77769,64.6215
1962,468.685,1807.07,360.637,258.726,193.357,148.078,120.617,104.017,91.2056,81.0203,71.3432,63.1002,56.2437,51.2112,45.9884,41.4254,37.4873,33.9975,30.7338,27.7346,24.9995,22.5528,20.3675,18.4071,16.6439,15.0555,13.622,12.3269,11.1558,10.0963,9.13772,8.27022,7.48514,6.77462,64.5931
1963,1071.81,318.385,1259.02,217.1,146.132,112.449,96.948,93.7026,86.0983,76.8217,69.1523,61.6914,55.1719,49.6044,45.4589,41.0146,37.0694,33.6262,30.5485,27.6503,24.9746,22.5265,20.3318,18.3682,16.6045,15.017,13.5857,12.2935,11.1256,10.0692,9.11333,8.24831,7.46542,6.75686,64.4254
1964,380.492,728.1,218.059,669.456,101.604,69.3234,61.1186,65.4888,68.151,64.0663,59.2864,55.6909,51.4389,47.1304,43.0586,39.8771,36.23,32.8993,29.9397,27.2607,24.7137,22.3476,20.1736,18.219,16.4666,14.8903,13.4698,12.1882,11.0303,9.98334,9.03603,8.17868,7.40265,6.70023,63.8888
1965,350.645,258.474,498.194,114.926,307.43,45.9388,33.9029,34.3996,37.7986,40.6165,41.6245,42.6101,43.3168,42.1316,39.8456,37.1122,34.7839,31.8452,29.0635,26.5391,24.2213,21.9946,19.9123,17.9905,16.2574,14.7003,13.2975,12.0319,10.889,9.85587,8.92123,8.07529,7.30948,6.61619,63.0932
1966,549.608,238.198,178.12,283.723,58.7937,153.776,23.5758,18.6851,19.1353,21.7316,25.6645,29.3704,32.7651,35.2231,35.448,34.2263,32.2906,30.5142,28.0876,25.7277,23.5523,21.5334,19.5785,17.741,16.0393,14.5011,13.1168,11.8682,10.7406,9.72175,8.80029,7.96636,7.21138,6.52777,62.2581
