ParName   Value   Gradient
MGparm[3]      273.618 5.01307e-006
MGparm[4]     0.299533 -3.10577e-005
MGparm[5]     -1.03002 -3.89149e-005
MGparm[6]    0.0917325 -1.31925e-006
MGparm[7]     0.064008 9.86116e-007
SR_parm[1]      6.66752 -0.000149697
SR_parm[2]     0.547433 -5.7541e-006
SR_parm[3]     0.684715 1.20488e-005
recdev1(1961)      1.33693 -2.77392e-005
recdev1(1962)    -0.363248 -1.86743e-006
recdev1(1963)      0.47187 -1.04664e-005
recdev1(1964)    -0.565795 -1.68542e-006
recdev1(1965)    -0.614233 -2.83306e-006
recdev1(1966)    -0.112326 -9.50968e-006
recdev1(1967)     -0.43055 -3.88965e-006
recdev1(1968)     0.418461 -1.41987e-005
recdev1(1969)     0.213587 -1.0965e-005
recdev1(1970)    -0.456668 -1.67888e-006
recdev1(1971)  -0.00725517 -5.58828e-006
recdev1(1972)      1.20862 -2.04815e-005
recdev1(1973)      0.44609 -6.76733e-006
recdev1(1974)     -0.32134 -2.89597e-007
recdev1(1975)     -0.59787 9.84043e-007
recdev1(1976)    -0.656298 6.02424e-007
recdev1(1977)    -0.942019 1.51969e-006
recdev1(1978)    -0.550333 1.01018e-006
recdev1(1979)    -0.488686 1.44891e-006
recdev1(1980)    -0.837263 2.46755e-006
recdev1(1981)     0.299793 -6.19995e-007
recdev1(1982)   -0.0862951 1.08671e-006
recdev1(1983)    -0.436671 2.03471e-006
recdev1(1984)    0.0436179 1.22808e-006
recdev1(1985)    -0.365272 2.53738e-006
recdev1(1986)     0.160851 2.15454e-006
recdev1(1987)    -0.664697 3.34674e-006
recdev1(1988)    -0.135235 2.77939e-006
recdev1(1989)     0.853639 1.35701e-007
recdev1(1990)    -0.187278 2.68965e-006
recdev1(1991)     0.410537 9.53999e-007
recdev1(1992)     -1.05987 3.56457e-006
recdev1(1993)     0.380049 2.92901e-006
recdev1(1994)      1.08276 1.65272e-006
recdev1(1995)    -0.456797 3.65459e-006
recdev1(1996)     -0.17821 3.12558e-006
recdev1(1997)     0.190834 2.53489e-006
recdev1(1998)  -0.00335971 3.20402e-006
recdev1(1999)     0.224983 3.19157e-006
recdev1(2000)     0.427287 3.00412e-006
recdev1(2001)     0.327432 3.43322e-006
recdev1(2002)     0.008159 3.69522e-006
recdev1(2003)      1.33387  2.7407e-006
recdev1(2004)     -1.03522 3.98795e-006
recdev1(2005)     0.889067 4.17928e-006
recdev1(2006)    -0.479782 4.50662e-006
recdev1(2007)   -0.0293003  4.3505e-006
recdev1(2008)     0.944272 4.23736e-006
recdev1(2009)     0.331307 4.15602e-006
recdev1(2010)      -0.8947 4.13045e-006
recdev1(2011)      0.45078  3.0897e-006
recdev1(2012)    0.0849612 3.85117e-006
recdev1(2013)    -0.802478 4.28109e-006
recdev1(2014)   -0.0853494 4.41783e-006
recdev1(2015)    0.0314877 4.46126e-006
recdev1(2016)    0.0698128 4.31372e-006
recdev1(2017)      1.20334  4.2861e-006
init_F[1]    0.0122224 7.86054e-007
init_F[2]   0.00229411 1.33146e-006
Q_parm[8]      -4.2414 -1.9025e-006
Q_parm[9]     -6.32189 -1.49803e-006
Q_parm[10]     -6.77224 -1.34863e-006
Q_parm[14]   -0.0983083  9.9992e-007
Q_parm[15]    -0.205209 1.08131e-006
Q_parm[16]   -0.0332977 9.75271e-007
selparm[1]      223.516 -1.31533e-007
selparm[2]     -11.6771  1.3585e-008
selparm[3]       7.1004 -3.09724e-008
selparm[4]        5.745 -3.3641e-007
selparm[6]     -3.23846 -1.04889e-007
selparm[7]      213.678 -5.58484e-007
selparm[8]     -11.6604 1.03309e-008
selparm[9]      8.02953 5.63834e-007
selparm[10]      7.08916 -6.07963e-007
selparm[12]     -2.56296 -9.67658e-007
selparm[13]      242.409 2.61426e-005
selparm[14]     -12.2009  2.1322e-008
selparm[15]      7.45616 -1.10193e-008
selparm[18]     0.295613 -4.10209e-008
selparm[19]      232.666 -1.07609e-006
selparm[20]      -11.888 1.49255e-008
selparm[21]      6.59783  3.0831e-007
selparm[22]      6.18959 -1.22173e-006
selparm[24]     -3.64866 -1.06857e-006
selparm[25]      74.4389 -3.39036e-005
selparm[27]      4.74083 1.61642e-005
selparm[31]       212.91 -1.60472e-006
selparm[32]     -2.30112 -6.95635e-007
selparm[33]      6.85956 5.10467e-007
selparm[36]     -4.08034 -4.42471e-007
selparm[37]      125.076 -1.18503e-006
selparm[38]     -2.29642 -1.11541e-006
selparm[40]      7.41642 -2.38951e-006
selparm[43]      269.843 -2.46916e-007
selparm[44]     -12.1185 3.17939e-008
selparm[45]      7.82604 3.32492e-007
selparm[46]      4.92161  1.0447e-007
selparm[48]     -2.56541 -2.77806e-007
selparm[49]          192 1.67878e-007
selparm[50]     -1.29651 2.35578e-007
selparm[51]      5.72273 2.19804e-007
selparm[52]      7.35023 -1.27208e-007
selparm[54]     -3.08858 -4.45735e-008
selparm[57]       111.91  6.8025e-007
selparm[58]     -1.91529 5.70533e-006
selparm[60]     -3.07732 7.28727e-008
selparm[63]      194.487 -4.33153e-007
selparm[64]    -0.251106 -1.97724e-006
selparm[65]      6.65288 2.67704e-007
