"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,314.491,232.071260244455,426.181979521367,0.378012,0.0849052660039886,0.671118733996011
2012,233.574,155.012450599215,351.951170793737,0.0334067,-0.374593122769749,0.441406522769749
2013,105.341,58.7736871075603,188.804324300637,-0.83492,-1.41528101553419,-0.254558984465814
2014,233.382,147.391457226271,369.540806156653,-0.103964,-0.558691324125169,0.350763324125169
2015,277.43,160.030310085622,480.955169422716,0.022098,-0.52939666596988,0.57359266596988
2016,303.881,148.108132539177,623.488127072117,0.0638793,-0.665319420556173,0.793078020556173
2017,1051.62,600.758275956627,1840.84792280056,1.19074,0.637277530189641,1.74420246981036
2018,367.537,275.419086771916,490.465087050657,0,0,0
2019,367.537,275.419086771916,490.465087050657,0,0,0
2020,367.537,275.419086771916,490.465087050657,0,0,0
2021,367.537,275.419086771916,490.465087050657,0,0,0
