"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","239651","219787.157009483","259514.842990517"
"Unfished Age 9+ Biomass (mt)","256693","235466.198054634","277919.801945366"
"Unfished Recruitment (R0)","788.702","722.613974405294","854.790025594706"
"2021 Spawning Biomass (mt)","39011.8","31724.5167080012","46299.0832919988"
"2021 Fraction Unfished","0.475028","0.389955959247437","0.560100040752563"
"Reference Points Based SB-99900\%","","",""
"Proxy Spawning Biomass (mt) SB-99900\%",NA,NA,NA
"SPR Resulting in SB-99900\%",NA,NA,NA
"Exploitation Rate Resulting in SB-99900\%",NA,NA,NA
"Yield with SPR Based On SB-99900\% (mt)",NA,NA,NA
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR40)","57391.6","48264.3613182345","66518.8386817655"
"SPR40","0.4","",""
"Exploitation Rate Corresponding to SPR40","0.077103","0.0736104421777489","0.0805955578222512"
"Yield with SPR40 at SB SPR (mt)","4802.34","3988.57863333085","5616.10136666915"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","82125.2","71734.1961406429","92516.2038593571"
"SPR MSY","0.481423","0.434123189161095","0.528722810838905"
"Exploitation Rate Corresponding to SPR MSY","0.0596886","0.0497140688877178","0.0696631311122822"
"MSY (mt)","5073.81","4539.07694602591","5608.54305397409"
