"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 9+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,4711.17,2349.99,43541.1,39011.8,0.475028
2022,4744.38,4744.38,41624.5,38710.1,0.471355
2023,4424.57,4424.57,39406.3,36211.1,0.440925
2024,4344.2,4344.2,38035.3,34071.8,0.414876
2025,4714.13,4714.13,37207.8,32918.4,0.400832
2026,5097.24,5097.24,44867.9,33377.3,0.406419
2027,5270.71,5270.71,44699.2,35955.8,0.437817
2028,5226.68,5226.68,44025.3,37897.3,0.461458
2029,5069.53,5069.53,43131.1,37805.4,0.460338
2030,4895.85,4895.85,42209.5,37037.3,0.450986
