"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2006.78","1753.96","1481.45","1626.52","1841.7","1900.89","1849.6","2026.47","2305.42","2177.62","NA"
"(1-SPR)/(1-SPR_MSY)","1.01039","0.894","0.74165","0.770349","0.844557","0.858285","0.829084","0.866232","0.958018","0.901236",NA
"Fill in F method","0.0508067","0.0492108","0.0443086","0.046277","0.051399","0.0484181","0.0440475","0.0498813","0.0556789","0.0513753",NA
"Age 9+ Biomass (mt)","26189.7","32330.6","31790.7","36549.3","36684.8","37196.8","41882","43581.3","42293.1","43417.7","234950"
"Spawning Biomass (mt)","23235.5","24779","27402.8","30070.9","32227.4","33753.6","34871.3","37063.9","38901.7","39076.8","39011.8"
"Lower Interval","18920.7960851538","20207.678000658","22411.1049252539","24651.952376264","26458.5204064642","27688.8246437182","28584.2647278713","30420.8372700796","31903.491796081","31911.1716725216","31724.5167080012"
"Upper Interval","27550.2039148462","29350.321999342","32394.4950747461","35489.847623736","37996.2795935358","39818.3753562818","41158.3352721287","43706.9627299204","45899.908203919","46242.4283274784","46299.0832919988"
"Recruits","316.833","236.509","106.154","234","278.001","305.047","1049.98","368.283","368.283","368.283","368.283"
"Lower Interval","233.785483170468","157.168179563155","59.2401915882006","147.724898889646","160.33282776554","148.87733237799","599.830648924002","276.196583225974","276.196583225974","276.196583225974","276.196583225974"
"Upper Interval","429.381450583073","355.902239476681","190.220041729988","370.661956187251","482.025777740386","625.035864914229","1837.94876500164","491.071853622573","491.071853622573","491.071853622573","491.071853622573"
"Fraction Unfished","0.282928","0.301722","0.333671","0.366159","0.392418","0.411002","0.424611","0.451309","0.473688","0.47582","0.475028"
"Lower Interval","0.235356146160041","0.251090250387377","0.278052318025113","0.305416580176728","0.327373263234265","0.342299774442714","0.353014887619541","0.374980162586072","0.39265093710241","0.392536622379729","0.389955959247437"
"Upper Interval","0.330499853839959","0.352353749612623","0.389289681974887","0.426901419823272","0.457462736765735","0.479704225557286","0.496207112380459","0.527637837413928","0.55472506289759","0.559103377620271","0.560100040752563"
