"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34"
1950,5.77574,1119.21,1621.22,2346.99,3343.24,4623.72,6152.53,7833.34,9521.86,11062.2,12314.5,13183,13636.1,13702.1,13446.6,12949.2,12286.9,11525.6,10716.8,9898.36,9096.23,8327.27,7601.51,6924.12,6296.99,5719.8,5190.88,4707.73,4267.44,3866.89,3502.98,3172.67,2873.06,2601.46,24834.8
1951,5.7741,1098.42,1621.32,2345.74,3340.56,4622.77,6154.02,7842.71,9536.93,11065.2,12304.1,13165.1,13614.6,13679.4,13424.5,12928.7,12268.5,11509.3,10702.4,9885.55,9084.83,8317.09,7592.39,6915.94,6289.63,5713.17,5184.9,4702.33,4262.56,3862.48,3498.99,3169.06,2869.8,2598.5,24806.6
1952,5.77285,1098.1,1589.81,2335.19,3316.15,4583.19,6113.84,7813.26,9516.63,11063.6,12302.6,13157.4,13602.8,13664.9,13408.5,12912.7,12253.5,11495.6,10690.2,9874.71,9075.2,8308.51,7584.72,6909.07,6283.45,5707.61,5179.89,4697.81,4258.48,3858.8,3495.66,3166.05,2867.08,2596.04,24783.1
1953,5.77195,1097.87,1592.69,2307.4,3341.74,4618.11,6148.99,7848.78,9563.05,11100.9,12335.4,13172.5,13602.2,13656,13395.4,12897.5,12238,11481,10676.9,9862.9,9064.72,8299.21,7576.44,6901.68,6276.84,5701.68,5174.55,4693,4254.14,3854.88,3492.12,3162.85,2864.18,2593.43,24758.2
1954,5.77203,1097.7,1587.98,2298.85,3269.31,4585.16,6087.74,7755.68,9465.19,11054.8,12328,13192.9,13620.8,13666.3,13400.3,12898.8,12236.8,11478.7,10674.4,9860.54,9062.72,8297.56,7575.09,6900.56,6275.91,5700.89,5173.87,4692.42,4253.63,3854.43,3491.72,3162.49,2863.86,2593.14,24755.5
1955,5.77256,1097.71,1588.69,2290.02,3255.02,4490.78,6064.47,7720.82,9405.07,10985.7,12307,13204.7,13655.7,13695.4,13418.6,12910.1,12243.2,11481.7,10675.5,9860.9,9062.85,8297.69,7575.28,6900.8,6276.19,5701.19,5174.18,4692.71,4253.91,3854.69,3491.97,3162.72,2864.07,2593.33,24757.4
1956,5.77333,1097.81,1590.38,2300.64,3264,4506.18,5982.96,7731.61,9398.62,10943.3,12247.4,13192.4,13674.7,13736.1,13452.2,12932.2,12258.1,11491.6,10681.8,9865.16,9066.08,8300.44,7577.78,6903.13,6278.36,5703.21,5176.05,4694.44,4255.49,3856.14,3493.29,3163.92,2865.16,2594.32,24766.9
1957,5.77455,1097.96,1591.91,2307.12,3289.48,4539.88,6036.98,7670.5,9457.76,10974.2,12227.1,13147,13675.6,13765.9,13500.7,12971.7,12285.1,11510.5,10695.2,9874.64,9073.15,8306.17,7582.74,6907.59,6282.43,5706.93,5179.46,4697.55,4258.33,3858.72,3495.63,3166.05,2867.1,2596.07,24783.8
1958,5.77522,1098.19,1590.4,2303.9,3284.87,4547.6,6038.39,7684.33,9326.04,10996.9,12231.6,13107.5,13617.8,13760,13525.4,13015.2,12320,11533.8,10711.2,9885.65,9080.72,8311.66,7587.11,6911.35,6285.81,5710.02,5182.29,4700.15,4260.71,3860.9,3497.62,3167.86,2868.74,2597.56,24798.1
1959,5.77471,1098.32,1586.39,2278.5,3227.96,4452.56,5935.91,7574.59,9233.59,10758.4,12201.6,13079.3,13556.2,13687.8,13509.5,13031.5,12355.6,11562.1,10729.3,9897.49,9088.36,8316.46,7590.28,6913.71,6287.8,5711.83,5183.97,4701.72,4262.16,3862.24,3498.85,3168.99,2869.77,2598.51,24807.2
