"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,0.455146,0.455146,0.455146,0.0435464,0.0435464,0.0435464
2012,0.511326,0.511326,0.511326,0.0373771,0.0373771,0.0373771
2013,0.56817,0.56817,0.56817,0.0305967,0.0305967,0.0305967
2014,0.547187,0.547187,0.547187,0.0329463,0.0329463,0.0329463
2015,0.511837,0.511837,0.511837,0.0367774,0.0367774,0.0367774
2016,0.505011,0.505011,0.505011,0.0377385,0.0377385,0.0377385
2017,0.513996,0.513996,0.513996,0.0365608,0.0365608,0.0365608
2018,0.490047,0.490047,0.490047,0.0395406,0.0395406,0.0395406
2019,0.446901,0.446901,0.446901,0.0449124,0.0449124,0.0449124
2020,0.466996,0.466996,0.466996,0.0423093,0.0423093,0.0423093
