ParName   Value   Gradient
MGparm[3]       273.38 1.79026e-005
MGparm[4]     0.293745 -0.000113989
MGparm[5]    -0.971667 -0.000142407
MGparm[6]    0.0962428 -4.91667e-006
MGparm[7]    0.0632935 1.06422e-006
SR_parm[1]      6.68095 -0.000546319
SR_parm[2]     0.502744 -5.7372e-006
SR_parm[3]     0.646641 4.22944e-005
recdev1(1961)      1.28522 -9.70229e-005
recdev1(1962)    -0.311269 -1.06745e-005
recdev1(1963)     0.416022 -3.93469e-005
recdev1(1964)    -0.491514 -1.02251e-005
recdev1(1965)    -0.628591 -1.20918e-005
recdev1(1966)    -0.194926 -3.12699e-005
recdev1(1967)    -0.395131 -1.9799e-005
recdev1(1968)     0.291184 -4.54476e-005
recdev1(1969)     0.305022 -4.02862e-005
recdev1(1970)    -0.477701 -7.83582e-006
recdev1(1971)    -0.105227 -1.49027e-005
recdev1(1972)      1.19477 -7.94415e-005
recdev1(1973)     0.488306 -2.84263e-005
recdev1(1974)    -0.329914 -3.80879e-006
recdev1(1975)     -0.59607 1.64727e-006
recdev1(1976)    -0.631392 2.99238e-006
recdev1(1977)    -0.932501 6.85342e-006
recdev1(1978)    -0.525467 4.42283e-006
recdev1(1979)    -0.443516 4.57232e-006
recdev1(1980)    -0.849351 9.01049e-006
recdev1(1981)     0.332814 -1.32883e-006
recdev1(1982)    0.0015206  4.5505e-006
recdev1(1983)    -0.421951 8.04139e-006
recdev1(1984)    0.0996242 4.08578e-006
recdev1(1985)    -0.289165 8.96877e-006
recdev1(1986)     0.191048 6.16654e-006
recdev1(1987)    -0.499982 1.11215e-005
recdev1(1988)    -0.192033 1.01888e-005
recdev1(1989)     0.950355 1.12162e-006
recdev1(1990)    -0.123835  1.1022e-005
recdev1(1991)     0.469523 8.43832e-006
recdev1(1992)     -0.89298 1.35753e-005
recdev1(1993)     0.345995 1.11857e-005
recdev1(1994)      1.18661 4.73632e-006
recdev1(1995)    -0.392614 1.35427e-005
recdev1(1996)    -0.209303 1.35225e-005
recdev1(1997)     0.314257 1.24607e-005
recdev1(1998)    0.0282397 1.32519e-005
recdev1(1999)     0.325219 1.22948e-005
recdev1(2000)     0.488715 1.14204e-005
recdev1(2001)     0.471439 1.17074e-005
recdev1(2002)   -0.0371429 1.33011e-005
recdev1(2003)      1.42304 8.08003e-006
recdev1(2004)    -0.939804 1.46001e-005
recdev1(2005)     0.928568 1.29801e-005
recdev1(2006)    -0.272373 1.48674e-005
recdev1(2007)   -0.0277284 1.48468e-005
recdev1(2008)     0.988133 1.45459e-005
recdev1(2009)     0.292124 1.54452e-005
recdev1(2010)    -0.857077 1.49986e-005
recdev1(2011)   -0.0807248 1.50445e-005
recdev1(2012)    -0.242563 1.49957e-005
recdev1(2013)    -0.572799 1.52202e-005
recdev1(2014)   -0.0349392 1.58589e-005
recdev1(2015)     0.331944 1.54725e-005
recdev1(2016)   -0.0395033 1.54783e-005
recdev1(2017)    -0.110605  1.5519e-005
