"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1950,269325,217075,232827,0.914489010965864,767.227,1017.3,0.186641,0.00436933860763571
1951,269036,216791,232538,0.913292581717381,767.008,1122.8,0.242095,0.00482845814447531
1952,268623,216575,232319,0.912382621443888,766.841,693.5,0.102232,0.00298511959848312
1953,268665,216419,232206,0.911725427913031,766.72,1084,0.253808,0.00466826869245411
1954,268275,216431,232188,0.911775981261559,766.729,823,0.209224,0.00354454149223905
1955,268072,216523,232221,0.912163556933602,766.8,544,0.132723,0.00234259606151037
1956,268104,216658,232295,0.912732282104536,766.905,247,0.0632945,0.00106330312748875
1957,268444,216871,232515,0.913629604040898,767.069,546,0.143464,0.00234823559770337
1958,268462,216988,232652,0.91412249918904,767.16,1207,0.333199,0.00518800612072967
1959,267681,216900,232357,0.913751774633172,767.092,1649,0.499318,0.00709683805523397
1960,266218,216405,231695,0.911666449006416,766.709,1032,0.284035,0.00445413150909601
1961,265208,215930,231121,0.909665378960539,2619.79,1620,0.527962,0.00700931546679012
1962,266003,215220,230290,0.906674305839333,474.567,5799,1.41445,0.0251812931521126
1963,259836,213177,227650,0.898067598252539,1078.86,13838,1.77968,0.0607862947507138
1964,244523,206774,219165,0.871093174034115,382.099,18608,1.8646,0.0849040677115415
1965,220683,194880,203384,0.820986380085351,350.518,14167,1.85712,0.0696564134838532
1966,199278,181173,186276,0.763241817729902,554.742,8080,1.71091,0.0433764950933024
1967,183761,168055,171429,0.707978582231341,411.013,5940,1.64186,0.0346499133752166
1968,170258,155251,157616,0.65403815935258,865.062,3176,1.16629,0.0201502385544615
1969,160722,143720,145575,0.605460604196771,746.449,3012,1.33215,0.0206903657908295
1970,152125,133611,139415,0.562873620841461,355.975,5466,1.81565,0.0392066850769286
1971,141003,125084,129309,0.526951253933682,531.017,6591,1.87367,0.050970930097673
1972,128675,116835,121829,0.492200039600123,1770.11,3948,1.77212,0.032406077370741
1973,120764,109242,112902,0.460212408319396,812.459,3871,1.75137,0.0342863722520416
1974,112701,101658,103751,0.428262692050065,360.14,5389.98,1.84907,0.0519511137242051
1975,103299,93718.4,95160.1,0.394814911552704,267.317,5072.38,1.65226,0.05330364301845
1976,94155.5,84508.9,85355.9,0.356017322947429,243.376,5880,1.69994,0.0688880323445714
1977,84631.4,74128.9,74839.1,0.312288676471208,171.576,6695.35,1.7604,0.0894632618510912
1978,74851.1,63630.5,64400.2,0.268061236956183,237.903,5765.1,1.74482,0.0895199083232661
1979,66819.4,54614.1,55278.8,0.230077135984295,233.372,6255.03,1.83612,0.113154229107723
1980,58832.6,46598,47520.6,0.196307077890072,149.31,5783.48,1.81352,0.121704692280821
1981,51639.7,40258.4,44688.2,0.169599743863034,430.81,5769.96,1.83399,0.129115963498194
1982,45140.1,36083.5,40136.3,0.152011812632439,275.003,1660.01,1.16661,0.0413593181234942
1983,43148.5,35110.9,37852,0.147914463734292,187.556,2554.24,1.47992,0.0674796576138645
1984,40415.4,32977.8,34590.8,0.138928184755638,292.143,2301.18,1.45344,0.0665257814216497
1985,38377,30415.8,31562.9,0.128135044845033,187.37,2674.24,1.6048,0.084727322267599
1986,36166.7,27477.2,28304.5,0.115755372346476,294.026,2329.36,1.49665,0.0822964546273561
1987,34823.2,24694.4,25784.7,0.104032050822966,123.194,2501.91,1.53476,0.0970307973333023
