ParName   Value   Gradient
MGparm[3]      272.388 3.74885e-006
MGparm[4]     0.305427 -1.83914e-005
MGparm[5]     -1.06817 -2.39593e-005
MGparm[6]    0.0911525 -8.24218e-007
MGparm[7]    0.0654563 8.13458e-007
SR_parm[1]      6.59391 -9.40429e-005
SR_parm[2]     0.577104 -6.13759e-006
SR_parm[3]     0.666211  8.5603e-006
recdev1(1961)      1.43936 -1.9053e-005
recdev1(1962)    -0.344705 -9.34963e-007
recdev1(1963)     0.526159 -2.19841e-006
recdev1(1964)      -0.5088 -1.00643e-006
recdev1(1965)    -0.571481 -2.95079e-006
recdev1(1966)   -0.0762654 -8.57303e-006
recdev1(1967)    -0.323817 -5.23055e-006
recdev1(1968)     0.438543 -8.51882e-006
recdev1(1969)     0.302911 -7.17922e-006
recdev1(1970)    -0.378165 -4.91446e-006
recdev1(1971)    0.0329917 -4.22856e-006
recdev1(1972)      1.25188 -1.71391e-005
recdev1(1973)     0.494354 -9.12859e-006
recdev1(1974)      -0.3113 -4.38101e-007
recdev1(1975)    -0.557633 7.53044e-007
recdev1(1976)    -0.614913 1.09953e-006
recdev1(1977)    -0.903236 3.02343e-006
recdev1(1978)    -0.522296 3.13888e-006
recdev1(1979)    -0.454985 2.13747e-006
recdev1(1980)    -0.795203 2.67929e-006
recdev1(1981)     0.337441  1.5219e-006
recdev1(1982)   -0.0352368   1.857e-006
recdev1(1983)     -0.39335 2.34082e-006
recdev1(1984)    0.0980501 1.98147e-006
recdev1(1985)    -0.290817 2.13622e-006
recdev1(1986)     0.298531 -1.59889e-007
recdev1(1987)    -0.531555 1.75988e-006
recdev1(1988)   -0.0158932  2.6704e-007
recdev1(1989)     0.941343 -1.71956e-006
recdev1(1990)    -0.116875 1.90532e-006
recdev1(1991)     0.455104 9.11086e-008
recdev1(1992)        -1.04 2.97291e-006
recdev1(1993)     0.405122 1.89986e-006
recdev1(1994)      1.00994 1.68611e-006
recdev1(1995)    -0.553503 3.45045e-006
recdev1(1996)    -0.277653 2.59899e-006
recdev1(1997)    0.0946595 1.57236e-006
